"term","nbin","mean","mean.lower","mean.upper","type","N"
"x",10,0.830285380227366,0.829198272489542,0.831425241769403,"skew",1000
"x2",10,0.701364605164497,0.699468446587139,0.703340001207066,"skew",1000
"x3",10,0.601140390653572,0.598661703941393,0.603697450316691,"skew",1000
"rcs.2.same",10,0.126719728258984,0.124974012472694,0.12844806428998,"skew",1000
"rcs.3.same",10,0.00631897717881389,0.00612228307852233,0.00648955741773502,"skew",1000
"rcs.2.diff",10,0.896670289570406,0.895130216617586,0.898285097256681,"skew",1000
"rcs.3.diff",10,0.330630544111971,0.330038125230375,0.331251711155874,"skew",1000
"x",20,0.83049763920175,0.829982693431202,0.8310375736164,"skew",1000
"x2",20,0.701003502520439,0.700095452960858,0.701944514345329,"skew",1000
"x3",20,0.599820387763482,0.598683470756479,0.601014311254503,"skew",1000
"rcs.2.same",20,0.124479236248976,0.123671416274496,0.125254083734824,"skew",1000
"rcs.3.same",20,0.00588092954067166,0.00579138104002081,0.0059674585871062,"skew",1000
"rcs.2.diff",20,0.89697099049826,0.896241482257451,0.897735899402285,"skew",1000
"rcs.3.diff",20,0.330746214546316,0.330465595076086,0.331040451567112,"skew",1000
"x",30,0.830563512676559,0.830226134413096,0.830917262810295,"skew",1000
"x2",30,0.701030099460681,0.700430696884876,0.701648076442998,"skew",1000
"x3",30,0.599762744697437,0.599013023070338,0.600547170521196,"skew",1000
"rcs.2.same",30,0.124263882186819,0.123735536964482,0.124769354713216,"skew",1000
"rcs.3.same",30,0.0058647920712548,0.00580744140607434,0.00592295950912126,"skew",1000
"rcs.2.diff",30,0.897064311475869,0.896586357800857,0.897565458688851,"skew",1000
"rcs.3.diff",30,0.330782112267319,0.330598258131652,0.330974888246462,"skew",1000
"x",40,0.830640453329236,0.830389582312815,0.830903498300475,"skew",1000
"x2",40,0.701158461785668,0.70071888628998,0.701618893519421,"skew",1000
"x3",40,0.599941812946489,0.599383178307268,0.600527444946833,"skew",1000
"rcs.2.same",40,0.124460701599775,0.124072055157276,0.124832265087783,"skew",1000
"rcs.3.same",40,0.00588679850292906,0.00584316641846219,0.00592828502695677,"skew",1000
"rcs.2.diff",40,0.897173310992694,0.896817909542044,0.897545958920296,"skew",1000
"rcs.3.diff",40,0.330824041042014,0.330687328992415,0.330967387282915,"skew",1000
"x",50,0.830685989633881,0.830486316784076,0.830895351957928,"skew",1000
"x2",50,0.701179156336321,0.70082706919265,0.701545259719651,"skew",1000
"x3",50,0.599900961299139,0.599459203104007,0.600367939323556,"skew",1000
"rcs.2.same",50,0.124267077789834,0.123958359204535,0.12456145034806,"skew",1000
"rcs.3.same",50,0.00585217283039864,0.00581794983863307,0.00588562212254988,"skew",1000
"rcs.2.diff",50,0.897237820910814,0.896954950368461,0.897534418240948,"skew",1000
"rcs.3.diff",50,0.330848856031119,0.330740044399805,0.330962947937142,"skew",1000
"x",60,0.830805026653884,0.830639196659979,0.830978903838264,"skew",1000
"x2",60,0.70135955925013,0.701067888778137,0.701663769070255,"skew",1000
"x3",60,0.600120371694222,0.599750163277077,0.600506502726984,"skew",1000
"rcs.2.same",60,0.124392610987425,0.124137233214932,0.124637684439734,"skew",1000
