"model","type","alpha","drift","slope","shift","Dxy","C (ROC)","R2","D","D:Chi-sq","D:p","U","U:Chi-sq","U:p","Q","Brier","Intercept","Slope","Emax","E90","Eavg","S:z","S:p"
"incorrect","vali_2","0.1","-2","0.5","1.5","0.457584301731858","0.728792150865929","-9.12069458594907","-1.97461338080673","-19745.1338080673","1","2.10165237058799","21018.5237058799","0","-4.07626575139473","0.530546257626014","-3.49924605359021","1.08382737012639","0.682939175224738","0.679877733762317","0.58616465097689","198.375681675807","0"
"incorrect","vali_2","0.1","-2","0.5","2","0.457584301731858","0.728792150865929","-18.2060674035129","-2.59402579597321","-25939.2579597321","1","2.72106478575448","27212.6478575448","0","-5.31509058172769","0.590543530611373","-4.04115973865332","1.08382737012636","0.741972339122578","0.739582302660315","0.633077337220194","253.063197103152","0"
"incorrect","vali_2","0.1","-2","0.5","-1.10922895039298","0.457584301731858","0.728792150865929","0.057146931010158","0.039541896888573","396.41896888573","0","0.0874970928926887","876.970928926887","0","-0.0479551960041157","0.186145127195171","-0.671292302228152","1.0838273701264","0.167190798697541","0.165811049899402","0.126658607595852","-11.8182725199474","3.14076462778337e-32"
"incorrect","vali_2","0.1","-2","0.5","-1.7970283693027","0.457584301731858","0.728792150865929","0.17504763186695","0.126657104126649","1267.57104126649","0","0.000381885654613143","5.81885654613143","0.0545068840162048","0.126275218472036","0.167477189408099","0.0741635331432345","1.0838273701264","0.134177982761926","0.0305215454730932","0.013240699326427","-1.79362611672321","0.0728728651102605"
"incorrect","vali_3","0.1","-2","0.5","-2","0.273364743201008","0.636682371600504","0.00161854393619769","0.000879783446518377","9.79783446518377","0.00174717496118171","0.0307244292401167","309.244292401167","0","-0.0298446457935983","0.145750796130255","-0.811150035196867","0.560619963478573","0.265991243622939","0.124942668704696","0.0629333660499774","-5.71318973216572","1.10877938124459e-08"
"incorrect","vali_3","0.1","-2","0.5","-1.5","0.273364743201008","0.636682371600504","-0.154351671785712","-0.0893837143384495","-892.837143384495","1","0.120987927025085","1211.87927025085","0","-0.210371641363534","0.166536059500941","-1.09146001693616","0.560619963478569","0.377505307640516","0.248334905503245","0.138991340427853","-12.6505382942289","1.11110920715027e-36"
"incorrect","vali_3","0.1","-2","0.5","-1","0.273364743201008","0.636682371600504","-0.519369380910316","-0.273362813790283","-2732.62813790283","1","0.304967026476918","3051.67026476918","0","-0.578329840267201","0.208934985983459","-1.37176999867544","0.560619963478563","0.466664138332095","0.368646567035233","0.23436862319128","0.790147033861354","0.429441904428047"
"incorrect","vali_3","0.1","-2","0.5","-0.5","0.273364743201008","0.636682371600504","-1.24182781910842","-0.560498732384399","-5603.98732384399","1","0.592102945071034","5923.02945071034","0","-1.15260167745543","0.273341445005942","-1.65207998041472","0.56061996347856","0.532920415263968","0.472977733777619","0.337856419315979","38.666857483389","0"
"incorrect","vali_3","0.1","-2","0.5","0.5","0.273364743201008","0.636682371600504","-5.3370777326672","-1.44211539776857","-14420.1539776857","1","1.47371961045521","14739.1961045521","0","-2.91583500822378","0.442392171945395","-2.21269994389326","0.560619963478544","0.614007751314064","0.613954780677249","0.532184274672503","132.806578511232","0"
"incorrect","vali_3","0.1","-2","0.5","1","0.273364743201008","0.636682371600504","-10.7780652661665","-2.01783798591728","-20177.3798591728","1","2.04944219860391","20496.4219860391","0","-4.06728018452119","0.528307549916999","-2.49300992563252","0.560619963478538","0.680454052088939","0.678780617618872","0.610405761056584","181.324331447941","0"
