"shift","Dxy","C (ROC)","R2","D","D:Chi-sq","D:p","U","U:Chi-sq","U:p","Q","Brier","Intercept","Slope","Emax","E90","Eavg","S:z","S:p","type_shift","model","alpha","drift","slope","ncase.dev","ncase.ext"
-1.5968217447709,0.247395937135999,0.623697968567999,-0.12370017539609,-0.0722342850856156,-721.342850856156,1,0.100126441571174,1003.26441571174,0,-0.172360726656789,0.162916578172067,-1.06876026396191,0.522937093953263,0.416360133954578,0.246829842908339,0.121768451986186,-11.3343111054544,8.87274888342935e-30,"recalibration","incorrect",0.1,-2,0.5,5119,1752
-2.33392107782596,0.247395937135999,0.623697968567999,0.016020197825251,0.00963440228066702,97.3440228066702,0,0.0182577542048915,184.577542048915,0,-0.00862335192422452,0.142788003232792,-0.683303680779204,0.522937093953264,0.238888415981522,0.0705762222842954,0.0376603467046623,4.54337951301174,5.53594531934111e-06,"optimal","incorrect",0.1,-2,0.5,5119,1752
-2,0.263564260956325,0.631782130478163,-0.0920776852052595,-0.0553118460445025,-552.118460445025,1,0.0869966726116127,871.966726116127,0,-0.142308518656115,0.165778141326029,-0.99537557335074,0.438304494000794,0.535354005889185,0.261065480656713,0.0968970787634514,2.78740712870817,0.00531316811189307,"other","correct",0.2,-2,0.5,5260,1852
-1.5,0.263564260956325,0.631782130478163,-0.312511221700568,-0.176284691992224,-1761.84691992224,1,0.207969518559335,2081.69518559335,0,-0.384254210551559,0.193211390378208,-1.21452782035113,0.438304494000799,0.582663977487061,0.378631049711104,0.166917649386729,5.23288436274411,1.66885150510523e-07,"other","correct",0.2,-2,0.5,5260,1852
-1,0.263564260956325,0.631782130478163,-0.770027179377936,-0.388561219463557,-3884.61219463557,1,0.420246046030668,4204.46046030668,0,-0.808807265494225,0.23798161949651,-1.43368006735153,0.438304494000799,0.617007308643812,0.479250643209921,0.26040036903472,22.6158229518584,3.02831029699031e-113,"other","correct",0.2,-2,0.5,5260,1852
-0.5,0.263564260956325,0.631782130478163,-1.63997950376187,-0.698742992887381,-6986.42992887381,1,0.730427819454491,7306.27819454491,0,-1.42917081234187,0.299482281173743,-1.65283231435193,0.4383044940008,0.641308218486191,0.557657535173946,0.358923829446987,56.2845741881538,0,"other","correct",0.2,-2,0.5,5260,1852
0,0.263564260956325,0.631782130478163,-3.28716561749891,-1.10750238602207,-11074.0238602207,1,1.13918721258918,11393.8721258918,0,-2.24668959861125,0.374192783228131,-1.87198456135233,0.4383044940008,0.65811326909369,0.614273879774153,0.455080100775963,102.981996499769,0,"no","correct",0.2,-2,0.5,5260,1852
0.5,0.263564260956325,0.631782130478163,-6.48702279778701,-1.60936765137685,-16092.6765137685,1,1.64105247794396,16412.5247794396,0,-3.2504201293208,0.456165680316777,-2.09113680835273,0.438304494000799,0.669473612853628,0.652918255165101,0.543034656450606,154.479488744925,0,"other","correct",0.2,-2,0.5,5260,1852
1,0.263564260956325,0.631782130478163,-12.9215207882165,-2.19353036693663,-21934.3036693663,1,2.22521519350374,22254.1519350375,0,-4.41874556044038,0.537962435160336,-2.31028905535315,0.438304494000807,0.678296456616003,0.67823579576905,0.618205757852413,202.936020709696,0,"other","correct",0.2,-2,0.5,5260,1852
1.5,0.263564260956325,0.631782130478163,-26.295201215489,-2.84562448563745,-28455.2448563745,1,2.87730931220456,28775.0931220456,0,-5.72293379784202,0.61224203197073,-2.52944130235355,0.438304494000806,0.717978471610398,0.716422791588242,0.6781413310872,248.961039961783,0,"other","correct",0.2,-2,0.5,5260,1852
2,0.263564260956325,0.631782130478163,-54.8494872407802,-3.55011548849772,-35500.1548849772,1,3.58180031506483,35820.0031506483,0,-7.13191580356255,0.673752606835834,-2.74859354935391,0.438304494000793,0.756744645828215,0.754464292931555,0.72285216976836,299.824155679696,0,"other","correct",0.2,-2,0.5,5260,1852
-1.5856002531832,0.263564260956325,0.631782130478163,-0.261117222021328,-0.149359919917741,-1492.59919917741,1,0.181044746484851,1812.44746484851,0,-0.330404666402592,0.18731345952944,-1.17700884469333,0.438304494000799,0.575567634061988,0.359470561023889,0.152867436995521,3.84989535769592,0.000118168299086283,"recalibration","correct",0.2,-2,0.5,5260,1852
